T [K] 	P [kPa] 	Dynamic Viscosity [mPas] 	State 	Reference
203.15 	100.000 	109.0000 	Liquid 	3
203.15 	5000.000 	110.4200 	Liquid 	3
203.15 	10000.000 	112.4500 	Liquid 	3
213.15 	100.000 	57.5200 	Liquid 	3
213.15 	5000.000 	58.5700 	Liquid 	3
213.15 	10000.000 	60.2500 	Liquid 	3
225.65 	100.000 	31.3100 	Liquid 	3
225.65 	5000.000 	32.6300 	Liquid 	3
225.65 	10000.000 	34.3200 	Liquid 	3
236.15 	100.000 	19.1870 	Liquid 	3
236.15 	5000.000 	20.9400 	Liquid 	3
236.15 	10000.000 	21.7600 	Liquid 	3
252.15 	100.000 	10.7200 	Liquid 	3
252.15 	5000.000 	11.0900 	Liquid 	3
252.15 	10000.000 	11.5200 	Liquid 	3
272.90 	100.000 	5.3410 	Liquid 	3
272.90 	5000.000 	5.5810 	Liquid 	3
272.90 	10000.000 	5.8300 	Liquid 	3
294.98 	  	2.8020 	Liquid 	1
295.15 	100.000 	2.8720 	Liquid 	3
295.15 	5000.000 	3.0050 	Liquid 	3
295.15 	10000.000 	3.1350 	Liquid 	3
298.00 	  	2.5180 	Liquid 	2
323.00 	  	1.3470 	Liquid 	2
324.05 	100.000 	1.3830 	Liquid 	3
324.05 	5000.000 	1.4750 	Liquid 	3
324.05 	10000.000 	1.5520 	Liquid 	3
343.75 	100.000 	0.9580 	Liquid 	3
343.75 	5000.000 	1.0050 	Liquid 	3
343.75 	10000.000 	1.0390 	Liquid 	3
384.35 	100.000 	0.4630 	Liquid 	3
384.35 	5000.000 	0.4850 	Liquid 	3
384.35 	10000.000 	0.5120 	Liquid 	3
410.65 	  	0.3280 	Vapor-Liquid 	3
410.65 	5000.000 	0.3424 	Liquid 	3
410.65 	10000.000 	0.3648 	Liquid 	3
444.85 	  	0.2212 	Vapor-Liquid 	3
444.85 	5000.000 	0.2334 	Liquid 	3
444.85 	10000.000 	0.2528 	Liquid 	3
473.15 	  	0.1635 	Vapor-Liquid 	3
473.15 	5000.000 	0.1734 	Liquid 	3
473.15 	10000.000 	0.1908 	Liquid 	3
