,year,author,doi,phases,note,secondary,reject,rho_predicted,rho_predicted_units,std. uncert. %,T [K],P [kPa],NVC [PaÂ·s],VDN [kg/m^3],pressures,temperatures,densities,viscosities
0,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.54,g/cm3,2.5,273.1502832645506,6894.7570000000005,0.000138,,6894.7570000000005,273.1502832645506,,0.000138
1,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.551,g/cm3,2.5,273.1502832645506,13789.514,0.000149,,13789.514,273.1502832645506,,0.000149
2,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.561,g/cm3,2.5,273.1502832645506,20684.271,0.00016,,20684.271,273.1502832645506,,0.00016
3,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.569,g/cm3,2.5,273.1502832645506,27579.028,0.000171,,27579.028,273.1502832645506,,0.000171
4,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.576,g/cm3,2.5,273.1502832645506,34473.785,0.000181,,34473.785,273.1502832645506,,0.000181
5,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.564,g/cm3,2.5,253.16603366562768,6894.7570000000005,0.000167,,6894.7570000000005,253.16603366562768,,0.000167
6,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.573,g/cm3,2.5,253.16603366562768,13789.514,0.00018,,13789.514,253.16603366562768,,0.00018
7,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.582,g/cm3,2.5,253.16603366562768,20684.271,0.000191,,20684.271,253.16603366562768,,0.000191
8,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.589,g/cm3,2.5,253.16603366562768,27579.028,0.000203,,27579.028,253.16603366562768,,0.000203
9,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.595,g/cm3,2.5,253.16603366562768,34473.785,0.000215,,34473.785,253.16603366562768,,0.000215
10,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.587,g/cm3,2.5,233.18263353527712,6894.7570000000005,0.000207,,6894.7570000000005,233.18263353527712,,0.000207
11,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.594,g/cm3,2.5,233.18263353527712,13789.514,0.000221,,13789.514,233.18263353527712,,0.000221
12,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.602,g/cm3,2.5,233.18263353527712,20684.271,0.000234,,20684.271,233.18263353527712,,0.000234
13,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.608,g/cm3,2.5,233.18263353527712,27579.028,0.000247,,27579.028,233.18263353527712,,0.000247
14,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.613,g/cm3,2.5,233.18263353527712,34473.785,0.00026,,34473.785,233.18263353527712,,0.00026
15,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.608,g/cm3,2.5,213.19263622954256,6894.7570000000005,0.00026,,6894.7570000000005,213.19263622954256,,0.00026
16,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.616,g/cm3,2.5,213.19263622954256,13789.514,0.000275,,13789.514,213.19263622954256,,0.000275
17,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.622,g/cm3,2.5,213.19263622954256,20684.271,0.000291,,20684.271,213.19263622954256,,0.000291
18,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.627,g/cm3,2.5,213.19263622954256,27579.028,0.000306,,27579.028,213.19263622954256,,0.000306
19,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.632,g/cm3,2.5,213.19263622954256,34473.785,0.000322,,34473.785,213.19263622954256,,0.000322
20,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.63,g/cm3,2.5,193.1948476562595,6894.7570000000005,0.000332,,6894.7570000000005,193.1948476562595,,0.000332
21,1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.636,g/cm3,2.5,193.1948476562595,13789.514,0.00035,,13789.514,193.1948476562595,,0.00035
