year,author,doi,T,T_units,p,p_units,eta,eta_units,rho,rho_units,phases,note,secondary,reject,rho_predicted,rho_predicted_units,std. uncert. %
1966,Huang,10.1002/aic.690120518,0,C,1000,psia,1380,uP,,,L,smoothed,,,0.54,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,0,C,2000,psia,1490,uP,,,L,smoothed,,,0.551,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,0,C,3000,psia,1600,uP,,,L,smoothed,,,0.561,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,0,C,4000,psia,1710,uP,,,L,smoothed,,,0.569,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,0,C,5000,psia,1810,uP,,,L,smoothed,,,0.576,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-20,C,1000,psia,1670,uP,,,L,smoothed,,,0.564,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-20,C,2000,psia,1800,uP,,,L,smoothed,,,0.573,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-20,C,3000,psia,1910,uP,,,L,smoothed,,,0.582,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-20,C,4000,psia,2030,uP,,,L,smoothed,,,0.589,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-20,C,5000,psia,2150,uP,,,L,smoothed,,,0.595,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-40,C,1000,psia,2070,uP,,,L,smoothed,,,0.587,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-40,C,2000,psia,2210,uP,,,L,smoothed,,,0.594,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-40,C,3000,psia,2340,uP,,,L,smoothed,,,0.602,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-40,C,4000,psia,2470,uP,,,L,smoothed,,,0.608,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-40,C,5000,psia,2600,uP,,,L,smoothed,,,0.613,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-60,C,1000,psia,2600,uP,,,L,smoothed,,,0.608,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-60,C,2000,psia,2750,uP,,,L,smoothed,,,0.616,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-60,C,3000,psia,2910,uP,,,L,smoothed,,,0.622,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-60,C,4000,psia,3060,uP,,,L,smoothed,,,0.627,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-60,C,5000,psia,3220,uP,,,L,smoothed,,,0.632,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-80,C,1000,psia,3320,uP,,,L,smoothed,,,0.63,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-80,C,2000,psia,3500,uP,,,L,smoothed,,,0.636,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-80,C,3000,psia,3680,uP,,,L,smoothed,,,0.641,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-80,C,4000,psia,3880,uP,,,L,smoothed,,,0.645,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-80,C,5000,psia,4060,uP,,,L,smoothed,,,0.651,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-100,C,1000,psia,4520,uP,,,L,smoothed,,,0.651,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-100,C,2000,psia,4760,uP,,,L,smoothed,,,0.655,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-100,C,3000,psia,5020,uP,,,L,smoothed,,,0.66,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-100,C,4000,psia,5270,uP,,,L,smoothed,,,0.663,g/cm3,2.5
1966,Huang,10.1002/aic.690120518,-100,C,5000,psia,5540,uP,,,L,smoothed,,,0.669,g/cm3,2.5
1974,Strumpf,10.1063/1.1681497,100,F,460,psia,880.6,uP,,,L,,,,,,2.5
1974,Strumpf,10.1063/1.1681497,100,F,590,psia,912,uP,,,L,,,,,,2.5
1974,Strumpf,10.1063/1.1681497,100,F,632,psia,916,uP,,,L,,,,,,2.5
1974,Strumpf,10.1063/1.1681497,100,F,819,psia,949.1,uP,,,L,,,,,,2.5
1974,Strumpf,10.1063/1.1681497,100,F,1045,psia,971.8,uP,,,L,,,,,,2.5
1964,Carmichael,10.1021/je60022a038,40,F,16.2,psia,76.46,uP,,,G,,,,,,2.5
1964,Carmichael,10.1021/je60022a038,40,F,16.2,psia,76.51,uP,,,G,,,,,,2.5
